"성별(1)","특성별(1)",특성별(2),1998,1998,1998,2001,2001,2001,2005,2005,2005,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"전체","소득수준(표준화)별",하,2037,12.4,1.0,1689,18.2,1.2,1870,22.5,1.5,769,26.6,2.1,1669,25.2,1.7,1859,25.2,1.3,1568,24.0,1.4,1517,21.3,1.8,1396,27.4,2.0,1410,27.9,1.6,1358,27.8,1.9,1320,30.9,1.8,1412,31.9,1.7,1435,29.8,1.7,1411,28.8,1.7,1422,33.9,1.8,1165,38.2,2.4,1182,34.0,2.3,1173,34.3,2.0,1341,38.0,2.0
"전체","소득수준(표준화)별",중하,2009,11.6,1.0,1896,19.3,1.3,1790,22.8,1.6,766,21.3,2.1,1676,23.7,1.4,1863,22.2,1.4,1604,20.6,1.5,1550,24.0,1.6,1441,24.0,1.8,1450,25.5,1.7,1348,26.6,1.8,1333,25.7,1.6,1383,26.4,1.8,1453,29.4,1.8,1415,29.9,1.7,1403,33.4,1.9,1161,34.1,2.1,1200,32.3,1.9,1181,35.8,1.7,1365,35.7,1.7
"전체","소득수준(표준화)별",중,2172,10.5,0.9,1898,19.3,1.2,1732,18.5,1.2,794,23.6,2.0,1680,22.7,1.4,1861,20.7,1.3,1623,23.2,1.7,1527,21.8,1.5,1403,21.0,1.5,1468,24.0,1.4,1340,23.9,1.4,1296,25.3,1.8,1395,28.1,1.6,1437,25.7,1.7,1401,32.3,2.0,1454,31.9,1.9,1166,35.2,2.3,1206,30.3,1.9,1187,35.4,2.0,1358,35.2,1.9
"전체","소득수준(표준화)별",중상,2114,9.8,0.9,1778,17.7,1.1,1736,18.3,1.2,769,22.3,2.3,1691,20.7,1.4,1872,20.3,1.4,1558,20.7,1.6,1517,19.1,1.6,1435,22.1,1.6,1446,22.7,1.5,1358,22.4,1.6,1318,25.4,1.8,1405,24.7,1.8,1453,28.7,1.9,1413,28.1,1.6,1436,30.6,1.7,1116,35.5,2.0,1161,30.1,1.7,1148,33.3,2.0,1357,33.2,1.6
"전체","소득수준(표준화)별",상,2068,11.4,1.0,2130,17.9,1.2,1715,16.8,1.2,781,18.8,2.0,1669,19.7,1.4,1834,18.2,1.1,1565,19.4,1.6,1508,20.7,1.8,1407,21.2,1.8,1415,18.9,1.4,1365,19.2,1.6,1323,22.8,1.8,1418,24.4,1.7,1375,24.2,1.5,1411,24.7,1.4,1405,26.5,2.0,1182,30.3,1.9,1163,31.2,2.2,1133,31.6,1.9,1344,30.1,1.8
"남자","전체",1세이상,4984,10.6,0.6,4760,17.0,0.7,4167,19.8,0.9,1821,21.4,1.4,3692,22.4,1.2,4182,22.5,0.9,3550,21.9,1.1,3376,21.1,1.0,3127,21.6,1.2,3196,24.1,1.1,2976,24.4,1.1,2942,25.6,1.1,3063,27.9,1.1,3233,27.4,1.3,3144,26.2,1.0,3202,29.6,1.2,2612,32.9,1.2,2639,28.8,1.2,2605,31.7,1.3,3016,31.4,1.0
"남자","전체",19세이상,3480,10.9,0.8,3253,18.4,0.9,2918,20.9,1.1,1198,22.4,1.7,2480,24.2,1.4,2914,23.2,1.0,2475,23.2,1.3,2425,21.7,1.2,2229,22.0,1.4,2265,25.4,1.2,2199,25.3,1.3,2248,26.7,1.3,2240,29.6,1.3,2483,29.4,1.4,2442,27.5,1.2,2495,31.1,1.4,2084,34.1,1.3,2140,30.2,1.4,2142,33.7,1.4,2511,32.5,1.1
"남자","전체",1세이상(표준화),4984,10.5,0.6,4760,18.0,0.7,4167,19.5,0.9,1821,21.5,1.3,3692,22.7,1.0,4182,22.8,0.7,3550,22.4,1.0,3376,21.6,1.0,3127,22.5,1.1,3196,25.1,1.1,2976,25.7,1.1,2942,27.3,1.2,3063,29.5,1.1,3233,29.5,1.2,3144,28.0,1.1,3202,32.2,1.2,2612,35.8,1.2,2639,31.4,1.2,2605,35.2,1.2,3016,35.0,1.0
"남자","전체",19세이상(표준화),3480,10.7,0.7,3253,19.0,0.8,2918,20.4,1.0,1198,22.7,1.6,2480,24.8,1.2,2914,24.0,0.9,2475,24.3,1.2,2425,22.9,1.1,2229,23.5,1.3,2265,27.2,1.3,2199,27.5,1.2,2248,29.5,1.4,2240,32.4,1.3,2483,33.0,1.4,2442,30.6,1.3,2495,35.4,1.4,2084,38.8,1.4,2140,34.6,1.4,2142,39.9,1.4,2511,38.5,1.2
"남자","연령별1",1-9세,766,4.9,0.8,811,7.4,1.0,615,10.1,1.5,342,10.3,1.7,646,9.3,1.6,667,9.8,1.4,552,7.4,1.3,504,6.8,1.3,472,11.2,2.4,470,8.2,1.5,428,9.6,1.8,319,9.6,2.1,474,7.1,1.5,429,7.6,1.6,374,8.9,1.8,373,10.9,1.8,273,11.2,2.4,240,9.6,2.3,225,7.5,1.9,234,7.9,2.2
